gene	frequency	observed	mean	median	pattern	pval	pvalr
Tpr	5.2	50	4.5	2.0	Inactivating	2.04e-15	1037
Anapc1	5.0	118	3.2	1.0	Inactivating	2.24e-15	1038
Tcf4	13.9	328	3.1	1.0	Inactivating	2.43e-15	1039
Usp32	8.1	191	4.4	1.0	Inactivating	3.66e-15	1040
Smarcc1	7.0	112	4.2	1.0	Inactivating	4.1e-15	1041
Cgnl1	7.2	115	1.6	1.0	Inactivating	4.48e-15	1042
Upf2	6.5	154	2.8	1.0	Inactivating	5e-15	1043
Chn2	10.2	241	3.3	1.0	Inactivating	7.7e-15	1044
Myo6	8.9	142	5.3	1.0	Inactivating	7.95e-15	1045
Vps13b	20.2	476	3.9	1.0	Inactivating	1.65e-14	1046
Prdm16	9.8	209	4.7	2.0	Inactivating	1.92e-14	1047
Vwa8	12.9	303	2.5	1.0	Inactivating	1.92e-14	1048
Mgat5	10.9	105	3.0	1.0	Inactivating	1.97e-14	1049
Zak	7.6	179	3.7	1.0	Inactivating	2.32e-14	1050
4930506M07Rik	5.5	129	2.8	1.0	Inactivating	3.3e-14	1051
Rbms1	9.6	225	3.4	1.0	Inactivating	4.22e-14	1052
Cdk6	7.0	165	2.4	1.0	Inactivating	4.56e-14	1053
Ctif	8.9	210	2.7	1.0	Inactivating	4.62e-14	1054
Mpp6	5.5	130	2.6	1.0	Inactivating	5.35e-14	1055
Asap1	10.8	254	2.9	1.0	Inactivating	5.74e-14	1056
Dcaf6	7.3	71	7.1	2.0	Inactivating	7.02e-14	1057
Tec	5.7	134	7.5	1.0	Inactivating	8.35e-14	1058
Plekha7	6.8	160	3.9	2.0	Inactivating	8.68e-14	1059
Ubac2	6.2	147	2.3	1.0	Inactivating	9.41e-14	1060
Ano6	7.8	184	4.5	2.0	Inactivating	1.9e-13	1061
Mir1195	12.0	282	5.3	1.0	Inactivating	2.03e-13	1062
Osbpl1a	8.3	196	2.9	1.0	Inactivating	2.05e-13	1063
Pi4ka	6.1	143	4.9	1.0	Inactivating	2.25e-13	1064
Strn	5.1	120	2.7	2.0	Inactivating	2.62e-13	1065
Usp25	6.3	148	4.9	1.0	Inactivating	3.44e-13	1066
Cpeb3	8.5	200	4.5	2.0	Inactivating	3.66e-13	1067
Xpo4	5.3	125	3.4	1.0	Inactivating	4.85e-13	1068
Atp6v1h	5.6	54	8.8	2.0	Inactivating	7.13e-13	1069
Prom1	5.2	123	3.5	1.0	Inactivating	7.85e-13	1070
Zswim6	7.9	185	3.0	1.0	Inactivating	1.93e-12	1071
Lrrc28	6.5	152	3.1	1.0	Inactivating	1.95e-12	1072
Pip5k1b	10.4	244	6.7	2.0	Inactivating	2.54e-12	1073
Akap9	7.3	171	3.1	1.0	Inactivating	2.79e-12	1074
Phkb	9.6	225	3.0	2.0	Inactivating	3e-12	1075
Ncoa1	10.2	241	2.5	1.0	Inactivating	3.11e-12	1076
Suco	5.3	51	2.7	2.0	Inactivating	4.04e-12	1077
Vcl	5.7	134	2.7	1.0	Inactivating	4.19e-12	1078
Runx1	7.9	186	4.0	2.0	Inactivating	4.51e-12	1079
Ttc3	5.8	136	2.9	1.0	Inactivating	4.75e-12	1080
Strbp	5.1	119	3.5	1.0	Inactivating	8.28e-12	1081
Mcc	13.5	317	3.7	1.0	Inactivating	9.07e-12	1082
Gmds	20.0	470	3.4	1.0	Inactivating	1.03e-11	1083
Pid1	10.5	101	5.0	2.0	Inactivating	1.15e-11	1084
Itpr1	12.1	286	6.1	2.0	Inactivating	1.59e-11	1085
Herc2	8.5	201	2.6	1.0	Inactivating	2.47e-11	1086
