gene	driver_citations	oncogene_citations	tumor_suppressor_citations	all_citations
MYC	632	2087	6	2725
RET	33	1093	8	1134
TP53	132	160	815	1107
BRAF	240	709	2	951
ERBB2	170	690	2	862
KRAS	119	715	2	836
ABL1	102	619	1	722
KIT	115	530	1	646
PTEN	109	32	461	602
MYCN	115	442	6	563
WT1	0	62	422	484
RB1	5	10	462	477
NRAS	99	295	1	395
ALK	116	233	1	350
CDKN2A	20	67	243	330
BCR	57	230	4	291
MET	18	265	2	285
APC	48	15	201	264
FOS	2	255	0	257
BRCA1	13	4	211	228
BCL2	10	196	6	212
CCND1	10	181	1	192
VHL	4	45	139	188
YAP1	22	148	18	188
AKT1	61	116	6	183
MYB	8	166	2	176
NOTCH1	36	95	40	171
RUNX3	0	20	136	156
KLF4	1	43	109	153
EWSR1	15	134	2	151
PIK3CA	59	89	1	149
KMT2A	88	58	2	148
CDH1	11	43	92	146
STAT3	15	112	13	140
HRAS	17	119	0	136
EZH2	17	82	23	122
JUN	1	120	0	121
ROS1	25	88	3	116
SRC	10	102	2	114
SHH	77	34	0	111
GLI1	5	100	1	106
BCL6	1	86	1	88
CTNNB1	9	79	0	88
PML	6	43	39	88
STK11	15	12	58	85
RASSF1	0	2	81	83
HGF	12	69	0	81
SMAD4	9	10	62	81
NF1	21	8	50	79
SOX2	2	71	3	76
MEN1	2	20	51	73
MARK2	0	72	0	72
LMO2	3	67	0	70
CDKN1A	0	36	33	69
PDGFRA	35	34	0	69
RUNX1	4	35	30	69
MITF	12	54	2	68
MTDH	2	65	1	68
FOXM1	6	56	5	67
MLLT3	49	18	0	67
MTOR	12	52	3	67
ERG	10	55	0	65
NPM1	10	53	2	65
MDM2	1	59	2	62
TAZ	11	50	1	62
EGF	12	49	0	61
CADM1	0	1	59	60
BRCA2	2	2	55	59
PDGFB	28	26	2	56
CD274	5	49	0	54
VEGFA	19	31	4	54
TERT	7	43	3	53
AR	35	12	4	51
CSF1R	2	49	0	51
MYCL	4	47	0	51
FHIT	0	23	27	50
KLF6	0	1	49	50
SYK	5	11	33	49
PTPN11	6	29	12	47
PTTG1	0	47	0	47
NF2	6	6	34	46
NTRK1	2	42	2	46
WWOX	1	3	42	46
FGFR1	16	29	0	45
TCL1A	3	41	1	45
ARID1A	7	8	29	44
DLC1	0	2	42	44
FOXP1	0	32	12	44
CDK16	0	43	0	43
PTGS2	7	33	3	43
RARA	8	29	6	43
SLC3A2	3	40	0	43
BAP1	5	0	37	42
FBXW7	5	9	28	42
TAL1	6	36	0	42
CDK8	1	39	1	41
ETS1	0	40	1	41
PTGDR	1	36	4	41
TNFAIP3	0	11	30	41
TWSG1	0	4	37	41
CBL	3	34	3	40
FLT3	19	20	1	40
MAF	0	38	2	40
EGR1	0	19	20	39
JAK2	10	28	0	38
MAPK1	8	29	1	38
PDCD4	0	20	18	38
PI3	13	25	0	38
BCL2L1	1	36	0	37
CDKN1B	0	9	28	37
PTCH1	5	14	18	37
RAF1	0	37	0	37
IDH1	16	13	7	36
PRKN	1	8	27	36
SMARCB1	3	5	28	36
WNT5A	7	11	18	36
FGFR3	4	30	1	35
FOXO1	1	9	25	35
NDRG2	0	3	32	35
SIRT6	2	15	18	35
SKP2	1	33	1	35
SOX4	2	26	7	35
DEK	0	34	0	34
E2F1	4	16	14	34
IL6	10	23	1	34
SIRT1	0	18	16	34
TCF3	1	18	15	34
FOXP3	2	6	25	33
ID4	2	14	17	33
NFIB	7	20	6	33
SERPINB5	0	1	32	33
SETD2	3	3	27	33
NKX3-1	0	2	30	32
CDKN2B	0	5	26	31
RBMS3	0	23	8	31
AXL	5	22	3	30
FOXO3	2	6	22	30
MAPK8	2	23	5	30
TET1	0	15	15	30
MECOM	0	29	0	29
ZBTB7A	0	21	8	29
AURKA	1	25	2	28
CHD5	0	0	28	28
PAX6	0	6	22	28
ATM	7	7	13	27
FHL2	0	15	12	27
HPGD	0	2	25	27
MAP2K7	7	18	2	27
REL	3	24	0	27
SPARC	2	7	18	27
SPOP	7	4	16	27
TET2	7	2	18	27
TUSC3	0	9	18	27
UCHL1	0	18	9	27
FTO	0	25	1	26
KL	0	2	24	26
NKX2-1	0	25	1	26
PTPA	2	3	21	26
PTPRD	0	0	26	26
SETDB1	1	24	1	26
SOX9	5	16	5	26
ZEB1	10	12	4	26
C2ORF40	0	0	25	25
CCN2	1	15	9	25
CDK4	2	16	7	25
DDX3X	1	15	9	25
FUS	1	23	1	25
HMGA2	3	21	1	25
IKZF1	2	7	16	25
NFKB1	0	23	2	25
OTX2	2	23	0	25
STAT1	1	3	21	25
YBX1	2	23	0	25
CRNDE	0	24	0	24
DCC	0	0	24	24
EIF4E	2	20	2	24
ERBB3	9	15	0	24
ETV6	3	18	3	24
HMGA1	5	18	1	24
HOXA9	5	16	3	24
KLF5	0	12	12	24
MUC1	0	24	0	24
NCOA3	3	20	1	24
RAB25	1	8	15	24
SOCS1	0	7	17	24
WNT1	5	18	1	24
ZNF703	1	23	0	24
ATF3	0	14	9	23
CDX2	0	7	16	23
GNMT	0	4	19	23
INS	8	14	1	23
IRF8	0	5	18	23
LOX	1	8	14	23
PBX1	1	21	1	23
PCNA	0	22	1	23
PTPN12	0	5	18	23
TP63	3	16	4	23
TRIB2	0	22	1	23
CCN4	0	18	4	22
CREB1	1	19	2	22
FOXA1	3	17	2	22
KDM6A	5	5	12	22
LMO1	0	22	0	22
METTL3	1	17	4	22
PAX5	2	5	15	22
PRRT2	1	16	5	22
SIRT3	0	2	20	22
TLX1	3	18	1	22
AKT2	4	12	5	21
ATF2	1	17	3	21
DNMT3A	6	8	7	21
ESR2	1	19	1	21
FASN	1	20	0	21
IRF4	1	19	1	21
SMARCA4	5	8	8	21
TFCP2	0	19	2	21
TFF1	0	6	15	21
TWIST1	6	13	2	21
AHR	3	10	7	20
CDKN2C	0	2	18	20
DAB2IP	2	1	17	20
EPHA2	2	17	1	20
ESR1	6	5	9	20
FLCN	0	3	17	20
IRF1	0	4	16	20
KDM5B	0	17	3	20
LETMD1	0	20	0	20
MST1R	3	17	0	20
PIM1	1	19	0	20
TP73	3	0	17	20
CBX7	0	9	10	19
CDC73	0	1	18	19
CTCF	2	13	4	19
DNMT1	0	6	13	19
EML4	1	18	0	19
FOXC1	0	18	1	19
GFAP	4	10	5	19
MAP2K4	0	7	12	19
MEIS1	6	11	2	19
NR4A3	0	2	17	19
PDLIM7	3	15	1	19
PIN1	0	16	3	19
CDKN1C	0	4	14	18
CDKN3	0	15	3	18
CRKL	0	18	0	18
CYLD	1	1	16	18
FLI1	3	15	0	18
GNAS	0	16	2	18
KIF14	0	16	2	18
MCL1	4	14	0	18
NOTCH2	1	7	10	18
NR4A1	0	10	8	18
PELP1	3	15	0	18
TCF21	0	0	18	18
TRIM3	0	0	18	18
CAV1	0	4	13	17
EMP3	0	4	13	17
EPHA7	1	2	14	17
FGFR2	5	10	2	17
GNAQ	7	10	0	17
HIC1	0	0	17	17
HMGB1	0	9	8	17
IGFBP7	0	1	16	17
LIN28B	6	11	0	17
MACC1	0	17	0	17
PPM1D	0	17	0	17
PRDM1	1	1	15	17
PWWP3A	0	17	0	17
SPI1	2	6	9	17
UHRF1	2	14	1	17
AMER1	1	0	15	16
BCL3	0	16	0	16
BRD7	0	1	15	16
CFTR	1	5	10	16
EP300	0	5	11	16
INPP4B	0	6	10	16
MCC	0	5	11	16
MPL	2	13	1	16
NUMB	0	8	8	16
PLK1	0	11	5	16
QKI	1	0	15	16
RAP1GAP	0	0	16	16
RHOA	3	11	2	16
RUNX2	3	11	2	16
SALL4	0	16	0	16
SULF1	0	2	14	16
TRIM24	1	12	3	16
ATOH1	0	1	14	15
CCN1	1	3	11	15
CUL4A	0	15	0	15
DAB2	0	2	13	15
DIRAS3	0	0	15	15
ETS2	1	6	8	15
GOLPH3	0	15	0	15
IGF1R	6	5	4	15
IKBKE	1	14	0	15
KDM4C	0	15	0	15
KITLG	3	12	0	15
LRIG1	0	1	14	15
NDRG1	0	6	9	15
NTN1	1	12	2	15
NTRK3	0	8	7	15
PRAM1	0	15	0	15
PTPN6	0	1	14	15
RAB1A	1	12	2	15
RBM38	0	5	10	15
RRAS	0	15	0	15
SPDEF	1	6	8	15
SPRY2	1	2	12	15
TES	0	4	11	15
ZNF217	1	14	0	15
BIRC5	1	13	0	14
CDC20	2	12	0	14
CHD1L	0	14	0	14
CXCR4	5	6	3	14
ERBB4	3	5	6	14
FBXO31	0	2	12	14
GAB2	1	13	0	14
HSP90AA1	1	13	0	14
ING4	0	2	12	14
KANK1	0	0	14	14
MALT1	4	10	0	14
NGFR	0	3	11	14
NR0B2	0	1	13	14
PAWR	1	4	9	14
PLCE1	1	10	3	14
PTK6	2	6	6	14
PTPN1	0	9	5	14
PTPRO	0	1	13	14
RHOBTB2	0	1	13	14
SIRT2	0	8	6	14
SOX7	0	2	12	14
SP1	3	7	4	14
SULF2	0	13	1	14
TTF1	0	12	2	14
URI1	1	13	0	14
VAV1	2	10	2	14
ZIC1	0	3	11	14
ARTN	0	12	1	13
BCL11A	0	12	1	13
BCL11B	1	2	10	13
BRF2	1	12	0	13
CACNA2D3	0	0	13	13
CD44	7	5	1	13
CDH13	0	5	8	13
CDK6	6	6	1	13
CEACAM1	1	0	12	13
CIP2A	3	10	0	13
DAPK1	0	4	9	13
DKK3	0	2	11	13
DNMT3B	1	1	11	13
EYA4	0	3	10	13
GATA3	5	1	7	13
HTATIP2	0	0	13	13
KDM2B	0	10	3	13
KMT2C	1	1	11	13
MDM4	4	8	1	13
MTSS1	0	3	10	13
MYBL2	0	11	2	13
MYD88	4	9	0	13
NSD2	2	11	0	13
PCDH10	0	0	13	13
PRDM2	0	1	12	13
PSMD10	0	12	1	13
PTP4A3	1	10	2	13
PXN	0	13	0	13
RASSF10	0	0	13	13
RBL1	0	1	12	13
RELA	1	11	1	13
SLC9A3R1	1	2	10	13
TFAP2A	0	3	10	13
THY1	1	1	11	13
TRAF6	0	13	0	13
TRIM29	1	8	4	13
ZEB2	2	7	4	13
ZFHX3	0	0	13	13
ANXA7	0	0	12	12
BECN1	1	0	11	12
BEX1	1	0	11	12
CASR	0	4	8	12
CDH2	0	12	0	12
CEBPA	3	7	2	12
ECT2	0	12	0	12
FOXF1	0	2	10	12
FOXQ1	1	10	1	12
GPC3	0	7	5	12
GTPBP4	0	12	0	12
HK2	0	11	1	12
HNF1A	0	8	4	12
HOPX	0	0	12	12
IGF1	3	8	1	12
ING1	0	1	11	12
KDM2A	0	10	2	12
MAP3K8	2	9	1	12
MAPK14	2	7	3	12
MEF2D	0	10	2	12
MLLT1	11	1	0	12
MOS	0	12	0	12
NDRG4	0	2	10	12
NOTCH3	1	8	3	12
PKM	3	9	0	12
PLXNB1	0	6	6	12
PRL	1	11	0	12
PROX1	1	4	7	12
RBL2	0	4	8	12
SEMA3B	0	0	12	12
SIRT7	0	12	0	12
SMO	5	7	0	12
SOCS3	0	1	11	12
SOD2	1	2	9	12
STARD13	0	0	12	12
TBX3	2	9	1	12
TFF3	1	10	1	12
TFPI2	0	1	11	12
TNF	0	12	0	12
TNS4	0	10	2	12
TRIM11	0	12	0	12
USP22	2	10	0	12
USP4	1	6	5	12
VAV3	0	12	0	12
WIF1	0	2	10	12
WTAP	0	12	0	12
YY1	0	8	4	12
ALDH1A2	0	0	11	11
CDC42	4	6	1	11
CSF2	1	10	0	11
DACT2	1	0	10	11
DDX58	1	2	8	11
DICER1	2	0	9	11
E2F5	0	9	2	11
FAT4	0	0	11	11
FBP1	0	1	10	11
FGFR4	3	7	1	11
FOXR2	1	10	0	11
GFI1	1	9	1	11
GJA1	0	4	7	11
GPRC5A	0	2	9	11
HSF1	4	7	0	11
MCTS1	0	11	0	11
MELK	1	10	0	11
MIF	4	7	0	11
MNX1	0	10	1	11
NCOA4	0	11	0	11
NR1H4	0	3	8	11
PDGFA	7	4	0	11
PDGFRB	8	3	0	11
PRR11	0	11	0	11
PTK2	3	6	2	11
PTPRJ	0	0	11	11
PTPRK	0	1	10	11
RELB	2	9	0	11
SFRP1	0	0	11	11
SLC5A8	0	0	11	11
SMAD3	2	1	8	11
ABHD5	0	2	8	10
AIM2	0	2	8	10
ARID2	0	2	8	10
BCL6B	0	0	10	10
CBX8	1	7	2	10
CHEK1	0	8	2	10
CSF1	1	9	0	10
CXCL1	2	8	0	10
DLEC1	0	0	10	10
EEF1A2	0	10	0	10
EPHB2	0	0	10	10
FGF19	3	7	0	10
FLT1	2	8	0	10
FOXK1	0	8	2	10
GATA4	0	2	8	10
HDAC6	0	9	1	10
HIF1A	4	4	2	10
ID1	1	9	0	10
IGF2	2	6	2	10
KAT6A	1	9	0	10
KISS1	0	0	10	10
LIN28A	2	7	1	10
MAP3K7	1	4	5	10
MECP2	0	10	0	10
NGF	0	9	1	10
NTRK2	2	8	0	10
OPCML	0	1	9	10
PBK	1	9	0	10
PCDH17	0	0	10	10
PHB	0	4	6	10
PIWIL1	0	10	0	10
PLAGL2	0	10	0	10
RAB22A	0	10	0	10
RAP1A	0	5	5	10
SLIT2	0	0	10	10
SMARCA1	2	2	6	10
SNAI1	3	5	2	10
SNAI2	2	6	2	10
SNCG	0	10	0	10
SPHK1	0	10	0	10
SQSTM1	0	8	2	10
SRSF1	1	9	0	10
STIM1	1	6	3	10
TFG	0	10	0	10
TGFBI	0	5	5	10
TRIM27	1	9	0	10
YEATS4	1	9	0	10
ZBTB16	1	8	1	10
ZFP36	0	2	8	10
ADAMTS9	0	0	9	9
ADGRF1	0	9	0	9
AFF1	3	6	0	9
AKAP12	0	2	7	9
BICRA	0	0	9	9
BIRC2	0	9	0	9
BTG2	0	4	5	9
BTG3	0	0	9	9
CALR	2	7	0	9
CD8A	6	3	0	9
CDH4	0	1	8	9
CEP55	0	9	0	9
CST6	0	0	9	9
CXCL8	4	5	0	9
EGLN1	0	1	8	9
EIF5A2	0	9	0	9
ELAVL1	0	9	0	9
ELF3	2	5	2	9
FAS	1	5	3	9
FES	1	6	2	9
FLII	2	7	0	9
FLVCR1	2	4	3	9
FOXF2	0	5	4	9
FUT1	2	7	0	9
GATA6	0	6	3	9
GDF15	0	3	6	9
GKN1	0	3	6	9
GLIPR1	0	1	8	9
GNA11	4	5	0	9
HOXA1	1	8	0	9
IFNA1	1	4	4	9
IGFBP2	3	6	0	9
IL10	2	7	0	9
IL2	4	4	1	9
INPP5D	0	1	8	9
IRX1	0	1	8	9
KDM1A	1	7	1	9
KDM6B	1	5	3	9
KIF5B	3	6	0	9
KLK10	0	3	6	9
LATS2	0	2	7	9
LRP1B	0	0	9	9
MMP9	0	8	1	9
MTAP	0	2	7	9
MUC4	0	7	2	9
MYO18B	0	0	9	9
NOB1	0	9	0	9
NRG1	6	3	0	9
PAK1	1	8	0	9
PAQR3	0	1	8	9
PCGF2	0	1	8	9
PER2	0	1	8	9
PHF6	4	0	5	9
PIM3	0	9	0	9
POU5F1	2	4	3	9
PPARA	0	1	8	9
PPARG	0	4	5	9
PRKCI	0	9	0	9
PRMT5	3	6	0	9
PROM1	7	2	0	9
PSCA	1	4	4	9
PTK2B	1	7	1	9
PTPN13	0	1	8	9
PTPRG	0	0	9	9
RASAL1	0	0	9	9
RNF6	0	6	3	9
RPRM	0	1	8	9
RPS6KA6	0	1	8	9
S100A4	2	3	4	9
SENP2	0	0	9	9
SETBP1	2	7	0	9
SETD7	0	1	8	9
SS18	0	9	0	9
TBX2	2	4	3	9
TLE1	0	5	4	9
TPD52	0	8	1	9
USP9X	1	0	8	9
WWP1	0	7	2	9
ZHX2	1	3	5	9
ADIPOQ	0	5	3	8
AFP	2	6	0	8
AMOT	0	4	4	8
ARID1B	1	1	6	8
BHLHE41	0	2	6	8
BRD4	3	4	1	8
BRIP1	1	1	6	8
CASZ1	0	0	8	8
CCBE1	0	4	4	8
CCND3	0	6	2	8
CCNE1	0	8	0	8
CDH17	0	7	1	8
CDK12	1	1	6	8
CEBPD	0	0	8	8
CHL1	1	2	5	8
CIC	3	0	5	8
CLU	0	4	4	8
CYGB	0	1	7	8
DDIT3	0	8	0	8
DLGAP5	0	8	0	8
DNAH8	1	6	1	8
DNAJB4	0	3	5	8
DTL	0	8	0	8
E2F2	1	2	5	8
E2F3	1	5	2	8
EHF	0	3	5	8
ERRFI1	0	1	7	8
ETV1	0	8	0	8
FABP3	0	6	2	8
FAT1	1	2	5	8
FBXO11	0	4	4	8
FGF5	0	8	0	8
FOSL1	2	6	0	8
FSCN1	0	7	1	8
GLI2	3	5	0	8
GPX3	0	0	8	8
GRM1	0	8	0	8
HACE1	0	0	8	8
HNF4A	0	3	5	8
HOXD10	0	1	7	8
IGF2R	0	2	6	8
IL11	0	8	0	8
IL24	0	1	7	8
ILF3	0	7	1	8
ING3	0	1	7	8
IQGAP2	0	0	8	8
JUNB	0	6	2	8
KCTD11	0	0	8	8
KDR	2	6	0	8
KLF8	0	8	0	8
LPA	2	5	1	8
MEF2C	0	7	1	8
MGMT	0	4	4	8
MLLT11	0	8	0	8
MN1	1	5	2	8
MTUS1	0	0	8	8
MXI1	0	0	8	8
NCL	0	8	0	8
NEUROG1	0	4	4	8
NFATC2	1	6	1	8
NKX2-8	0	3	5	8
NLK	0	0	8	8
NME1	1	2	5	8
NSD3	2	6	0	8
NUAK1	0	8	0	8
PAK4	2	6	0	8
PAX3	1	6	1	8
PBRM1	1	0	7	8
PCDH8	0	0	8	8
PDX1	0	4	4	8
POU3F2	3	5	0	8
PPP1R13L	0	8	0	8
RBM5	0	0	8	8
RHOC	2	6	0	8
ROCK1	0	6	2	8
SATB2	0	1	7	8
SERPINB3	1	5	2	8
SFN	0	6	2	8
SLC2A1	1	6	1	8
SLC39A1	0	0	8	8
SOX11	0	2	6	8
SPRY4	0	2	6	8
SRF	0	8	0	8
SUSD2	0	1	7	8
SUZ12	1	3	4	8
TGFB1	2	5	1	8
TIMP3	0	2	6	8
TP53INP2	0	8	0	8
TPX2	0	8	0	8
TXNIP	0	0	8	8
UBE2C	0	8	0	8
WNT10A	0	8	0	8
YWHAZ	1	6	1	8
AFAP1	0	7	0	7
AGR2	0	7	0	7
AJUBA	0	5	2	7
ALKBH5	0	7	0	7
ANXA6	0	0	7	7
ASPN	1	3	3	7
ATF1	0	5	2	7
ATRX	6	0	1	7
AZGP1	0	0	7	7
BEX2	0	0	7	7
BIRC3	3	4	0	7
BLCAP	0	0	7	7
CAMTA1	0	0	7	7
CCN6	0	2	5	7
CDK1	0	4	3	7
CDK5	0	4	3	7
CHD1	1	2	4	7
CLCA2	0	0	7	7
CNTNAP1	4	3	0	7
CREBBP	0	4	3	7
DACH1	0	0	7	7
DCUN1D1	0	6	1	7
DKK1	0	3	4	7
DUSP1	2	3	2	7
EHMT2	1	4	2	7
EIF2AK2	0	2	5	7
EPO	3	4	0	7
FAM83D	2	5	0	7
FGF2	4	3	0	7
FGF3	0	7	0	7
FOXD3	1	0	6	7
FYN	0	5	2	7
GLI3	0	7	0	7
GPER1	1	1	5	7
GRHL2	1	1	5	7
GSN	0	1	6	7
GSTP1	1	0	6	7
HCCS	0	5	2	7
IRS2	0	7	0	7
ITCH	0	0	7	7
ITIH5	1	1	5	7
KLF2	0	1	6	7
KMT2D	0	4	3	7
LASP1	0	5	2	7
LIFR	0	0	7	7
LRRC4	0	0	7	7
MAP2K1	2	5	0	7
MMP14	4	3	0	7
MMP7	1	5	1	7
MTA3	0	4	3	7
NANOG	3	4	0	7
NCOA2	1	6	0	7
NFATC1	3	3	1	7
NOP53	0	1	6	7
NR2E1	1	6	0	7
PATZ1	0	3	4	7
PHF8	0	7	0	7
PHGDH	0	7	0	7
PIK3R1	2	3	2	7
PLK2	0	3	4	7
PPP6C	5	1	1	7
PREX1	3	4	0	7
PSMA6	0	7	0	7
PTRH2	0	1	6	7
PTTG1IP	0	7	0	7
RAC1	5	1	1	7
RAN	2	5	0	7
RARRES1	0	1	6	7
RASA1	0	2	5	7
RASSF8	0	0	7	7
RIPK1	1	6	0	7
RND3	0	1	6	7
RRAS2	0	7	0	7
SAMSN1	0	2	5	7
SGK3	0	7	0	7
SMAD2	0	1	6	7
SMYD4	0	0	7	7
SOX10	2	2	3	7
SOX6	0	0	7	7
ST18	0	4	3	7
STK4	0	1	6	7
TACC3	0	6	1	7
TBX5	0	1	6	7
TCF4	0	5	2	7
THRA	0	6	1	7
TRAF3	0	1	6	7
TSC1	3	1	3	7
UNC5D	0	0	7	7
USP39	0	7	0	7
ACTL6A	0	5	1	6
AKT3	1	2	3	6
ANP32C	0	6	0	6
ATAD2	0	6	0	6
AXIN1	0	1	5	6
BARD1	0	4	2	6
BAX	1	3	2	6
BCL2L11	0	3	3	6
BCL9	0	6	0	6
BDNF	0	4	2	6
BLNK	1	3	2	6
BSG	2	4	0	6
CALCA	0	6	0	6
CARM1	1	5	0	6
CBFA2T3	0	0	6	6
CBX4	0	3	3	6
CCN5	0	2	4	6
CCNC	0	2	4	6
CCND2	0	2	4	6
CD300A	0	5	1	6
CDC25A	0	6	0	6
CLDN1	0	1	5	6
CTBP1	0	2	4	6
CTCFL	1	4	1	6
CTNND1	0	2	4	6
CXCL14	0	1	5	6
DDX5	0	6	0	6
DEPTOR	0	5	1	6
DOT1L	3	3	0	6
DPH1	0	1	5	6
DPP4	0	0	6	6
DUSP4	0	0	6	6
DUSP6	0	1	5	6
EFEMP1	0	1	5	6
EGR2	0	5	1	6
EIF3E	0	3	3	6
EPB41L3	0	0	6	6
EPHA3	0	2	4	6
EPHB3	0	1	5	6
FEZF1	0	6	0	6
FOXK2	0	4	2	6
FRZB	0	4	2	6
GDE1	0	0	6	6
GLS	1	5	0	6
GOLM1	0	6	0	6
GOLPH3L	0	6	0	6
GPBAR1	1	1	4	6
GPNMB	0	3	3	6
GUCY2C	1	0	5	6
HDAC1	0	4	2	6
HDAC9	1	2	3	6
HDGF	0	6	0	6
HMGN5	0	6	0	6
HOXB13	0	1	5	6
HTRA1	0	0	6	6
ID2	0	2	4	6
ID3	0	3	3	6
IDH2	3	2	1	6
IGFBP3	0	1	5	6
INTS6	0	0	6	6
IRF6	1	1	4	6
KCNQ1	0	0	6	6
LCN2	1	2	3	6
LMO3	0	5	1	6
LYL1	1	5	0	6
MAGED4	0	6	0	6
MAL	0	0	6	6
MAP3K1	2	2	2	6
MCAM	0	2	4	6
MCF2	0	6	0	6
MDK	2	4	0	6
MLH1	0	1	5	6
MSI1	0	5	1	6
MZF1	0	6	0	6
NCOR1	0	6	0	6
NEK7	0	6	0	6
NOS3	1	5	0	6
NT5C2	4	2	0	6
NUP98	2	3	1	6
OGT	0	6	0	6
PAX2	0	5	1	6
PDLIM5	0	6	0	6
PDXP	2	1	3	6
PIGU	0	6	0	6
PINX1	0	1	5	6
PITX1	1	1	4	6
PLAG1	0	6	0	6
PRC1	0	5	1	6
PRDX1	0	2	4	6
PRKDC	0	3	3	6
PRSS3	1	1	4	6
PTBP1	1	5	0	6
PTN	1	5	0	6
PTPRZ1	1	5	0	6
RAB14	0	3	3	6
RASSF2	0	0	6	6
RECK	0	1	5	6
RHOB	0	1	5	6
RHOH	0	5	1	6
RICTOR	2	4	0	6
ROR1	1	5	0	6
RPS6KA2	0	0	6	6
RRBP1	0	6	0	6
RSF1	0	6	0	6
RSPO3	1	2	3	6
RUNX1T1	2	2	2	6
S100A2	0	0	6	6
SALL2	0	0	6	6
SEMA3F	0	0	6	6
SEPT9	0	5	1	6
SMAD7	0	2	4	6
SND1	0	4	2	6
SOX1	0	3	3	6
SOX15	0	0	6	6
SOX17	1	1	4	6
SOX5	0	6	0	6
SSBP2	0	0	6	6
STAT5A	1	3	2	6
STOML2	0	6	0	6
SYNPO2	0	0	6	6
TACC2	0	2	4	6
TACSTD2	0	5	1	6
TAT	0	2	4	6
THBS1	0	1	5	6
TKTL1	1	5	0	6
TLX3	0	5	1	6
TMEM176A	0	0	6	6
TNFAIP8L2	0	0	6	6
TOB1	0	1	5	6
TRIB1	0	5	1	6
TRIM28	1	2	3	6
TRIM33	0	1	5	6
TRIM44	0	6	0	6
TRIM59	0	6	0	6
TRPM1	0	0	6	6
TSG101	0	2	4	6
TTN	1	5	0	6
UBE2S	0	6	0	6
VWA5A	0	0	6	6
WNT7A	0	3	3	6
ABCB5	4	1	0	5
AJAP1	0	0	5	5
ALDOA	0	5	0	5
ALOX15	0	0	5	5
ANXA2	1	4	0	5
APAF1	0	2	3	5
ARHGAP26	0	0	5	5
ARID4A	0	2	3	5
ARID4B	1	2	2	5
ARNT	0	5	0	5
ASCL1	1	4	0	5
BACH1	0	5	0	5
BCL2L2	0	5	0	5
BIN1	0	0	5	5
BMP4	0	4	1	5
BNC2	0	0	5	5
BOP1	0	5	0	5
BRINP1	0	0	5	5
CBLB	0	5	0	5
CCDC6	0	4	1	5
CCN3	0	2	3	5
CD151	2	3	0	5
CD34	2	3	0	5
CDK10	0	0	5	5
CLCA1	0	0	5	5
CLDN7	0	0	5	5
CNOT3	1	0	4	5
COPS5	0	5	0	5
CRP	1	4	0	5
CRYBG1	0	0	5	5
CSF3R	2	3	0	5
CTBP2	0	5	0	5
CTDSPL	0	0	5	5
CTHRC1	0	5	0	5
CTTN	0	5	0	5
DCD	0	5	0	5
DDR2	2	3	0	5
DIRAS1	0	0	5	5
DIS3	1	1	3	5
DMBT1	0	0	5	5
DMD	0	0	5	5
DRG1	0	3	2	5
EAF2	0	0	5	5
EIF4EBP1	0	5	0	5
EMP2	0	3	2	5
EMSY	0	5	0	5
EPCAM	1	3	1	5
EPHB4	0	1	4	5
ESRP1	0	1	4	5
EZR	1	3	1	5
FBXO32	0	0	5	5
FOCAD	0	0	5	5
FOXA2	0	2	3	5
FRK	0	0	5	5
FSTL1	1	1	3	5
GALR1	0	0	5	5
GATA2	1	3	1	5
GDF11	0	0	5	5
GDF2	0	2	3	5
GRP	0	5	0	5
H3F3A	5	0	0	5
HDAC2	1	4	0	5
HMGB3	0	4	1	5
HMMR	1	3	1	5
HNRNPA1	0	5	0	5
HOXA11	0	1	4	5
HOXA5	0	1	4	5
IGF2BP1	0	4	1	5
IGFBP5	0	0	5	5
IL7R	1	4	0	5
ILK	1	3	1	5
INPPL1	0	3	2	5
INSR	0	5	0	5
JDP2	0	3	2	5
KDM3A	0	5	0	5
KDM3B	0	1	4	5
KDM4A	1	3	1	5
KDM5C	0	4	1	5
KIF4A	0	5	0	5
KLF10	0	0	5	5
KLF13	0	3	2	5
LAPTM4B	0	5	0	5
LATS1	0	1	4	5
LGI1	0	0	5	5
LGR5	0	4	1	5
LSAMP	0	1	4	5
LXN	0	0	5	5
LZTS1	0	0	5	5
MAP2K6	0	5	0	5
MAP3K3	0	5	0	5
METTL14	0	3	2	5
MIEN1	0	5	0	5
MMP2	1	3	1	5
MT3	0	2	3	5
MYOD1	0	0	5	5
NACC1	0	5	0	5
NBN	0	0	5	5
NEDD9	1	4	0	5
NEFH	0	0	5	5
NISCH	0	1	4	5
NKX2-2	0	4	1	5
NKX2-5	0	5	0	5
NPAS3	2	1	2	5
NR2F2	0	4	1	5
NR4A2	0	3	2	5
NR5A2	2	3	0	5
NTSR1	0	1	4	5
ODC1	1	4	0	5
OLR1	0	2	3	5
PA2G4	0	0	5	5
PER1	0	0	5	5
PIM2	0	5	0	5
PLK4	0	1	4	5
PLXNC1	0	0	5	5
PPP1R1B	1	4	0	5
PRDM14	1	4	0	5
PRSS27	0	5	0	5
PSPH	1	4	0	5
PTHLH	4	1	0	5
PTK7	0	5	0	5
PTPN9	0	1	4	5
RAD9A	0	4	1	5
RALA	1	3	1	5
RASAL2	0	2	3	5
RASSF6	0	0	5	5
RBM45	0	1	4	5
RERG	0	0	5	5
RIOX2	0	5	0	5
RIT1	0	3	2	5
RNF43	0	2	3	5
RP1	0	1	4	5
